game_id,title,price,discount
375416,FANTASY LIFE i: The Girl Who Steals Time,"52,41",-9
137829,Deliver At All Costs,Free,-100
324169,DOOM: The Dark Ages,"45,12",-40
324174,Clair Obscur: Expedition 33,"28,59",-42
23660,The Witcher 3: Wild Hunt - Complete Edition,"9,34",-83
50036,"Warhammer 40,000: Gladius - Relics of War",Free,-100
104612,Tainted Grail: The Fall of Avalon,"43,99",0
192008,HELLDIVERS 2,"22,59",-39
125196,Sifu,Free,-100
377136,Monster Train 2,"14,78",-40
377111,Game of Thrones: Kingsroad,Free,0
12393,Dead Island 2,"16,51",-71
80011,Red Dead Redemption 2,"10,49",-82
374993,Onimusha 2: Samurai's Destiny,"21,16",-25
338186,RoadCraft,"28,79",-25
188472,JDM: Japanese Drift Master,"22,32",-33
176226,Shadow Gambit: The Cursed Crew,"1,78",-96
73381,Baldur's Gate 3,"42,16",-29
73502,Cyberpunk 2077,"20,87",-63
4848,The Witcher 3: Wild Hunt,"2,99",-90
362288,ELDEN RING NIGHTREIGN,"28,95",-24
147732,Hogwarts Legacy,"11,46",-80
172584,"Warhammer 40,000: Space Marine 2","28,75",-50
113096,Thymesia,"2,75",-89
83203,STAR WARS Battlefront II: Celebration Edition,"1,17",-97
237207,Cyberpunk 2077: Ultimate Edition,"27,52",-63
106391,Happy Game,"2,31",-83
35849,"Warhammer 40,000: Inquisitor - Martyr","3,10",-93
4227,S.T.A.L.K.E.R.: Bundle,"21,06",-44
371301,Stellar Blade,"53,99",-22
88320,Sea of Stars,"12,06",-68
32194,STAR WARS Battlefront II (2017),"1,17",-97
19877,Minecraft,"13,53",-53
154739,The Last of Us Part I,"29,99",-50
119003,ELDEN RING,"28,33",-51
73508,DOOM Eternal,"3,22",-91
397042,Stellar Blade Complete Edition,"69,59",-22
391286,The Elder Scrolls IV: Oblivion Remastered,"39,88",-10
8570,Saints Row: Gat out of Hell,"0,35",-97
188492,The Precinct,"18,76",-26
348379,Red Dead Redemption,"26,38",-46
245414,Monster Hunter Wilds,"30,19",-55
134937,Sniper Elite 5,"7,25",-85
362282,The Last of Us Part II Remastered,"34,99",-30
223933,Turok 3: Shadow of Oblivion Remastered,"9,86",-65
295533,Metaphor: ReFantazio,"27,03",-58
150585,As Dusk Falls,"1,45",-95
185129,Tales of Seikyu,"13,92",-40
